"Gene_Symbol","Andocsa"
"DDR1","0.985135135135135"
"RFC2","0.995580589254766"
"HSPA6","1.98900672529747"
"PAX8","1.0068191816982"
"PTPN21","1.00210614995788"
"EPHB3","0.983578431372549"
"ESRRAP1","0.975148640523749"
"TTLL12","0.977704085232484"
"MIR4435-2HG","1.00902792357758"
"WFDC2","1.00021061499579"
"ADAM32","1"
"PRR22","1"
"PRR22","1"
"SLC46A1","0.998141263940521"
"TIMD4","1"
"ATP6V1E2","0.974188650597836"
"AFG3L1P","0.993334331935291"
"CILP2","1.04516938519448"
"PIGX","0.984233439228145"
"TMEM196","1.00400168491997"
"BEST4","1.02801003344482"
"CORO6","0.993075356415479"
"TMEM106A","0.983976804517015"
"ALG10","1.00063184498736"
"NEXN","1"
"RAX2","0.996793587174349"
"EYA3","1.02143922445936"
"GIMAP1","0.999789429353548"
"KLK8","0.963271788763153"
"CCDC65","1"
"CCDC65","1"
"PABIR3","1.02097611630322"
"CFAP53","0.999369085173502"
"RBBP6","0.980259509814794"
"CATSPER1","1"
"HOXD4","1"
"GSC","1"
"SP7","1"
"PRSS33","1.00989890480202"
"CBARP","1.00693568726356"
"MCMDC2","1"
"LEAP2","0.987119571412288"
"CTCFL","1"
"C4orf33","1.05728454172367"
"TVP23C","0.997101449275362"
"GARIN4","1.03241123038811"
"GAPT","1"
"ERICH5","1.00931981687377"
"CCDC185","0.987293760667552"
"ENTHD1","0.990004164931279"
"TSSK3","1"
"HSPD1P21","1.00483294809834"
"CLEC12A","1"
"TMEM266","1"
"CALML6","1"
"NLRP5","1"
"ODF4","1"
"ODF4","1"
"CLEC4F","1.01495366470093"
"DEFB106B","1"
"DEFB106B","1"
"WFDC9","1.09165302782324"
"NEDD1","1.0189452124936"
"TTLL10","1"
"TTLL10","1"
"ZNF22-AS1","1"
"ETV3","0.954090150250417"
"KLHL10","1"
"KLHL10","1"
"TM2D3","1.05185953474589"
"ZNF485","0.961864861961543"
"MFSD6L","0.999162128194386"
"ANKAR","1"
"MEGF11","0.999789517996211"
"ESX1","1"
"FAM167A-AS1","1"
"SCGB1C2","0.989180191427383"
"DNAJC5G","1"
"WDR88","1"
"WDR88","1"
"MBD3L2B","1"
"ADAMTSL1","0.999372253609542"
"MBD3L1","0.980848153214774"
"TENT5D","1"
"SERPINB11","1"
"LINC00161","1"
"DSCR10","1"
"DSCR10","1"
"ABHD11","1.00942605781315"
"PLCD3","0.961740890688259"
"IRF6","1.00021061499579"
"LACTB","1.00627615062762"
"MPP4","1"
"IDI2","1"
"SLAMF6","1"
"GPBAR1","1"
"BRSK1","1"
"CRB2","1"
"KCNE4","0.999789429353548"
"SLC34A3","1"
"CPA6","1.00021061499579"
"WBP2NL","1"
"TIGD4","1.02065943238731"
"ART5","1.03244035161155"
"GARIN6","1"
"NLRP11","1.02638743455497"
"ATP6V1C2","1"
"IQCD","0.994540612516644"
"SERPINA12","1.00989890480202"
"LETM2","1.06595974119339"
"BSND","1"
"BSND","1"
"CLEC4C","1"
"NLRC4","1"
"NLRC4","1"
"PRSS36","0.98441611009917"
"ZDHHC15","1"
"ZNF570","1"
"NUDT9P1","1"
"BTBD16","1"
"RTP3","0.999789473684211"
"TSPEAR","1.0120050547599"
"MYO3B","1"
"ADAM21","1"
"TRIML2","1"
"GTF2A1L","0.996432318992655"
"TRPV3","0.999789429353548"
"CNBD1","1"
"CNBD1","1"
"ABCC12","1"
"MMP21","1.02358887952822"
"TMEM190","1"
"GAS2L2","1"
"KCNG4","1"
"PXT1","1"
"CACNG5","1"
"LINC00308","1.00147244425747"
