"Gene_Symbol","Andocsb"
"RFC2","0.997284806470249"
"HSPA6","1.4140369029143"
"THRA","0.984418113942542"
"EPHB3","0.949101307189542"
"ESRRAP1","0.969381165519852"
"SCARB1","0.991213940547664"
"WFDC2","1.00014040999719"
"ADAM32","1"
"PRR22","1"
"PRR22","1"
"VPS18","0.997129971299713"
"SLC46A1","0.998760842627014"
"TIMD4","1"
"CILP2","1.03234351038617"
"PIGX","0.987331842961917"
"TMEM196","1.00028081999438"
"BEST4","1"
"CORO6","0.99918533604888"
"TMEM106A","0.999850545508893"
"ALG10","1.02642901044868"
"NEXN","1"
"C15orf40","0.985740307051783"
"RAX2","0.994121576486306"
"EYA3","1.0137956748695"
"GIMAP1","1.00021057064645"
"KLK8","0.963271788763153"
"PABIR3","1.01723779854621"
"CFAP53","0.999369085173502"
"CENPBD1P","1.01246537396122"
"CATSPER1","1"
"HOXD4","1"
"GSC","1"
"SP7","1"
"CNOT7","0.985400516795865"
"PRSS33","1.00645885987082"
"CBARP","0.999369085173502"
"MCMDC2","1"
"TIRAP","0.977720651242502"
"LEAP2","0.987119571412288"
"CTCFL","1"
"C4orf33","1.02861377108983"
"TVP23C","1.02454106280193"
"GARIN4","1.00759700794764"
"GAPT","1"
"ERICH5","1.00054501853063"
"CCDC185","0.963904165876478"
"ENTHD1","0.990004164931279"
"TSSK3","1"
"HSPD1P21","1.00329200812496"
"TMEM266","1"
"CALML6","1"
"NLRP5","1"
"ODF4","1"
"ODF4","1"
"CLEC4F","1"
"DEFB106B","1"
"DEFB106B","1"
"WFDC9","1.00013638843426"
"TTLL10","1"
"TTLL10","1"
"ZNF22-AS1","1"
"KLHL10","1.00097956898964"
"ZNF485","0.980771296594693"
"MFSD6L","1.01857282502444"
"ANKAR","1"
"MEGF11","1.00021048200379"
"GPR182","1.00006751738573"
"ESX1","1.00814035087719"
"FAM167A-AS1","1"
"SCGB1C2","0.989180191427383"
"DNAJC5G","1"
"WDR88","1"
"WDR88","1"
"MBD3L2B","1"
"ADAMTSL1","1.00704470949292"
"MBD3L1","0.98156471891082"
"TENT5D","1"
"SERPINB11","1"
"LINC00161","1"
"DSCR10","1.01387797852841"
"ABHD11","1.00544616673649"
"GAMT","0.999327956989247"
"PLCD3","0.961538461538462"
"IRF6","1.00014040999719"
"LACTB","1.02033937703394"
"BNC1","1.00912874211304"
"IDI2","1.01527141468832"
"CYP11B1","1"
"SLAMF6","1"
"ZSCAN20","1.00393147992137"
"GPBAR1","1"
"BRSK1","1"
"CRB2","1"
"KCNE4","0.999789429353548"
"SLC34A3","1.00538525269263"
"CPA6","1"
"WBP2NL","1.00042105263158"
"TIGD4","1.0090428491931"
"ART5","1"
"GARIN6","1"
"NLRP11","1.01682373472949"
"ATP6V1C2","1.01007133864876"
"IQCD","0.994584997780737"
"SERPINA12","1"
"LETM2","1.00179726815241"
"CLEC4C","1"
"NLRC4","1"
"NLRC4","1"
"PRSS36","0.985225662821291"
"ZDHHC15","1"
"ZNF570","1.00154450996911"
"NUDT9P1","1"
"BTBD16","1.01881832018818"
"RTP3","0.999859649122807"
"TSPEAR","1.00477393990452"
"MIPOL1","1"
"MIPOL1","1"
"C6orf141","0.918487744079767"
"MYO3B","1"
"ADAM21","1"
"TRIML2","1.01201823456279"
"ABCC13","0.999862087987864"
"GTF2A1L","0.996432318992655"
"TRPV3","0.999789429353548"
