"","X","gene_id","L2FC","L2FCSE","p.value","p.adjust","symbol"
"1",1,"ENSG00000227232",0.0287573637110383,0.124079545139589,0.40167585640665,0.76838439495647,"WASH7P"
"2",2,"ENSG00000278267",-0.00623402124563577,0.124657812323918,0.372983897946392,NA,"MIR6859-1"
"3",3,"ENSG00000241860",0.00414666586443647,0.124235025370165,0.689820194024929,NA,NA
"4",4,"ENSG00000279457",0.0302056294577278,0.122847468508528,0.430177367365537,0.78537018360257,"WASH9P"
"5",5,"ENSG00000228463",0.00495203957803962,0.122624696594658,0.829508064675424,NA,"RPL23AP21"
"6",6,"ENSG00000236679",0.0208691797523522,0.12585902831539,0.240998438964352,NA,"RPL23AP24"
"7",7,"ENSG00000237094",0.000741411442949992,0.123564465133568,0.962746929708251,NA,NA
"8",8,"ENSG00000230021",0.00799995107160584,0.12417210330691,0.561158605491807,NA,"LOC101928626"
"9",9,"ENSG00000225972",0.0403537308191434,0.132584385654372,0.0637072528785344,0.423040550222137,"MTND1P23"
"10",10,"ENSG00000225630",0.0328189521761008,0.129228488597405,0.122537562261958,0.535923960254587,"MTND2P28"
"11",11,"ENSG00000237973",0.0485456338259998,0.123830921528198,0.344097622660862,0.733239471192934,"MTCO1P12"
"12",12,"ENSG00000229344",0.0274242074126527,0.126420049787737,0.272292269368592,0.682968772557437,"MTCO2P12"
"13",13,"ENSG00000240409",0.0054675849218514,0.124570671733105,0.40541935125693,NA,"MTATP8P1"
"14",14,"ENSG00000248527",0.040768751715355,0.132061531792576,0.100184558423083,0.50187376773634,"MTATP6P1"
"15",15,"ENSG00000198744",0.0541646847869675,0.130662718807501,0.276011485168824,0.685636542408729,"MTCO3P12"
"16",16,"ENSG00000228327",0.0289184296900797,0.125228963973118,0.350747119276164,0.738145219527809,NA
"17",17,"ENSG00000237491",0.00210396552126937,0.122906428841404,0.931278684723023,NA,"LINC01409"
"18",18,"ENSG00000230092",0.0203231879060022,0.125889912202288,0.223976841251938,NA,NA
"19",19,"ENSG00000177757",0.00400894203734852,0.124231736218762,0.694998473285158,NA,"FAM87B"
"20",20,"ENSG00000228794",0.11244142579411,0.138541054783689,0.122568373640489,0.535923960254587,"LINC01128"
"21",21,"ENSG00000225880",0.0288766006548747,0.128154552656112,0.124197586244621,NA,"LINC00115"
"22",22,"ENSG00000272438",-0.00564767685406722,0.124170276531691,0.638403639966494,NA,NA
"23",23,"ENSG00000230699",0.0208316329021023,0.125041576521624,0.353077322142629,NA,NA
"24",24,"ENSG00000223764",-0.0428663076721,0.126129284219486,0.309240593261455,0.710955689320836,"LINC02593"
"25",25,"ENSG00000187634",-0.0518154217058979,0.129376088618593,0.258947807858061,0.671376850855458,"SAMD11"
"26",26,"ENSG00000188976",0.30384068980743,0.155840454441413,0.00463034250464253,0.127281999905919,"NOC2L"
"27",27,"ENSG00000187961",-0.0199250424908098,0.119353041109033,0.611401670129078,0.875345020844196,"KLHL17"
"28",28,"ENSG00000187583",0.00169421337416685,0.12003354779255,0.952110513764636,0.987298599802961,"PLEKHN1"
"29",29,"ENSG00000187642",0.026830803175081,0.126742901144304,0.231001847306815,NA,"PERM1"
"30",30,"ENSG00000272512",0.0130788483961118,0.124959139802545,0.292536684298701,NA,NA
"31",31,"ENSG00000188290",-0.0580782740543525,0.137264681973532,0.138832774057483,0.559976936064664,"HES4"
"32",32,"ENSG00000187608",0.0371679001477342,0.119526085957755,0.448406699824615,0.794849528193849,"ISG15"
"33",33,"ENSG00000224969",-0.000964157735361853,0.124422121135496,0.856627461931565,NA,NA
"34",34,"ENSG00000188157",-0.585278446296404,0.32484395340471,0.00258418075898716,0.0934216612349476,"AGRN"
"35",35,"ENSG00000217801",0.535504814030834,0.387645543115947,0.00484049866960961,0.1304295138503,"LOC100288175"
"36",36,"ENSG00000273443",-0.00625787255010101,0.123292873642134,0.735593176301941,NA,NA
"37",37,"ENSG00000237330",0.00416870131971894,0.124307612029061,0.659473545002789,NA,"RNF223"
"38",38,"ENSG00000131591",-0.0336137788807879,0.115600264807019,0.517981737405937,0.828749838946898,"C1orf159"
"39",39,"ENSG00000078808",0.029025960280799,0.0935150553931353,0.643085925725291,0.888786146724005,"SDF4"
"40",40,"ENSG00000176022",-0.111262473358292,0.140899594529735,0.121409561846724,0.534048934963103,"B3GALT6"
"41",41,"ENSG00000184163",0.00540009035303254,0.123499425394321,0.748017599763737,NA,"C1QTNF12"
"42",42,"ENSG00000260179",0.00240945843816957,0.124325591919861,0.766344339425829,NA,NA
"43",43,"ENSG00000160087",-0.0206574797599375,0.107749396635132,0.70754267255547,0.912861617923438,"UBE2J2"
"44",44,"ENSG00000162572",-0.00509235924548047,0.123374967992658,0.771908785204537,NA,"SCNN1D"
"45",45,"ENSG00000131584",-0.108604963536269,0.173451517922421,0.0667891706762293,0.432467301147548,"ACAP3"
"46",46,"ENSG00000169972",-0.0114043886093614,0.117380549057119,0.783529123453275,0.94084198463618,"PUSL1"
"47",47,"ENSG00000127054",0.00151952324407188,0.100603831655749,0.982793306985178,0.994802241911556,"INTS11"
"48",48,"ENSG00000240731",0.00754875096474405,0.121665159400297,0.784932471455192,0.941592600645431,NA
"49",49,"ENSG00000224051",-0.0160899817209439,0.118282999711857,0.683898607559271,0.905284830670048,"CPTP"
"50",50,"ENSG00000169962",-0.0205130388421198,0.125947588441374,0.218097305044679,NA,"TAS1R3"
"51",51,"ENSG00000107404",0.00233924418827169,0.112200404193352,0.964838344498105,0.989840845080832,"DVL1"
"52",52,"ENSG00000162576",-0.0156352555703156,0.111849915452578,0.759805054836431,0.932255334673401,"MXRA8"
"53",53,"ENSG00000175756",0.00171155516166866,0.10775360552549,0.928847761505803,0.98362894812805,"AURKAIP1"
"54",54,"ENSG00000221978",-0.0579461490261834,0.127813626779007,0.266762725313375,0.677893120087835,"CCNL2"
"55",55,"ENSG00000224870",0.029323260727804,0.107902797928592,0.613063351871084,0.876117842156116,"MRPL20-AS1"
"56",56,"ENSG00000242485",0.105495642300172,0.125986375195587,0.15138890278623,0.576434199393881,"MRPL20"
"57",57,"ENSG00000272455",0.0134360697115348,0.119824493905124,0.714864980596458,0.91615657127989,NA
"58",58,"ENSG00000160072",0.0367835989538344,0.116457464310756,0.483560426268265,0.812646321201932,"ATAD3B"
"59",59,"ENSG00000284740",0.0143435861113137,0.125491367109233,0.112372583811777,NA,NA
"60",60,"ENSG00000197785",0.00778541091344036,0.107563338830577,0.956592860057961,0.98809471845961,"ATAD3A"
"61",61,"ENSG00000205090",-0.00185028875685613,0.123504081342518,0.909054295053278,NA,"TMEM240"
"62",62,"ENSG00000160075",0.126169149798599,0.115121184890218,0.094464276263651,0.489356340292915,"SSU72"
"63",63,"ENSG00000215014",0.00322306243807931,0.123272036207439,0.861814090571539,NA,NA
"64",64,"ENSG00000228594",-0.0743819180921119,0.127993469059228,0.229181618061367,0.648052147924518,"FNDC10"
"65",65,"ENSG00000272106",1.2273699663264,0.56229925326403,0.000869091757771681,0.0505007257913548,NA
"66",66,"ENSG00000197530",-0.0270035519651873,0.119275336231444,0.5467452229321,0.842920327561738,"MIB2"
